experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,EDDM,6.4444444444444446,190.41710463449593,133.42165299179507,-55.963449593884377,6.2515185322703646,4186,5000,973.41719999999998,136.3416,-837.07560000000001,25.655367216049079,5000,0.83720000000000006,0.99939999999999996,0,4578
expB_H1,Concept,EDDM,11.888888888888889,214.34763139288239,134.21608643457384,-78.409476661951913,6.683045401863378,4242,5000,938.8954,136.16239999999999,-802.73299999999995,24.986102983271682,5000,0.84860000000000002,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,17.333333333333336,247.03649465364947,133.93857543017208,-111.93722390141828,7.6619338920263163,4301,5000,910.55020000000002,135.88499999999999,-774.66520000000003,24.266160723382729,5000,0.86040000000000005,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,22.777777777777779,269.12337360594796,133.70348139255702,-134.35408921933086,8.3809328345552707,4304,5000,927.66139999999996,135.65000000000001,-792.01139999999998,24.273933248261937,5000,0.86080000000000001,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,28.222222222222221,297.89683090446448,133.54221688675472,-161.9683017121703,9.1541164582093035,4322,5000,934.5616,135.4888,-799.07280000000003,24.135794339812286,5000,0.86460000000000004,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,33.666666666666671,301.15609078276981,133.46378551420568,-166.06391848077814,9.0780538112625671,4318,5000,942.07839999999999,135.41040000000001,-806.66800000000001,24.152514915646982,5000,0.86360000000000003,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,39.111111111111114,312.78461895910783,134.48489697939587,-176.78415427509293,9.3965046449196379,4304,5000,965.245,135.458,-829.78700000000003,24.374107940882322,5000,0.86080000000000001,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,44.555555555555557,330.32845188284517,134.47369473894778,-194.13133426313343,9.7720224241833922,4302,5000,982.21460000000002,135.4468,-846.76779999999997,24.434089525145328,5000,0.86040000000000005,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,50,341.41994872989977,134.01040208041607,-205.78746213003961,10.021585730449615,4291,5000,1002.0066,134.9836,-867.02300000000002,24.586922781197522,5000,0.85819999999999996,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,60,354.6595495072736,134.0436,-218.85570154856876,10.167455542700557,4262,5000,1040.3117999999999,134.0436,-906.26819999999998,24.925231063371598,5000,0.85240000000000005,1,0,4578
expB_H1,Concept,EDDM,75.555555555555557,380.75757575757575,133.95840000000001,-245.33638712708481,10.81231526172191,4257,5000,1067.1769999999999,133.95840000000001,-933.21860000000004,25.046421956306865,5000,0.85140000000000005,1,0,4578
expB_H1,Concept,EDDM,91.111111111111114,402.37651245551604,134.39727945589118,-266.16986951364174,11.230666358498718,4215,5000,1124.2034000000001,135.37039999999999,-988.83299999999997,25.530059422747641,5000,0.84299999999999997,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,106.66666666666666,418.67367917762374,134.23944788957792,-282.34138178340902,11.401891651277214,4183,5000,1167.2624000000001,135.21260000000001,-1032.0498,25.843138120235562,5000,0.83660000000000001,0.99980000000000002,0,4578
