Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,FPR_CUSUM,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN
106.66666666666666,106.6666666666668,True,106.6666666666668,warmstart,2,1000,local,0.23.0,0.029999999999999999,0.78900000000000003,4188.277566539924,86.412731230040635,0,warmstart,0.044999999999999998,0.433,NaN,NaN,0,warmstart,0.108,0.73699999999999999,1084.0176390773406,41.378814338709759,0,warmstart
122.22222222222223,122.22222222222229,True,122.22222222222229,warmstart,2,1000,local,0.23.0,0.029000000000000001,0.76700000000000002,4457.5632333767926,88.670801962630804,0,warmstart,0.043999999999999997,0.40400000000000003,NaN,NaN,0,warmstart,0.107,0.72399999999999998,1135.0400552486187,42.193784054471564,0,warmstart
137.77777777777777,137.77777777777555,True,137.77777777777555,warmstart,2,1000,local,0.23.0,0.027,0.745,4669.5395973154364,88.53744623469089,0,warmstart,0.040000000000000001,0.38,NaN,NaN,0,warmstart,0.109,0.70299999999999996,1165.3328591749644,45.763562858539039,0,warmstart
153.33333333333331,153.3333333333353,True,153.3333333333353,warmstart,2,1000,local,0.23.0,0.025999999999999999,0.73199999999999998,4934.2431693989074,91.595897395963533,0,warmstart,0.037999999999999999,0.35299999999999998,NaN,NaN,0,warmstart,0.108,0.69299999999999995,1211.0793650793651,48.2498812590418,0,warmstart
168.88888888888889,168.88888888888508,True,168.88888888888508,warmstart,2,1000,local,0.23.0,0.025000000000000001,0.71599999999999997,5146.4483240223462,93.323894251457446,0,warmstart,0.035999999999999997,0.33300000000000002,NaN,NaN,0,warmstart,0.109,0.68000000000000005,1220.4176470588236,47.652052965125918,0,warmstart
184.44444444444446,184.44444444444062,True,184.44444444444062,warmstart,2,1000,local,0.23.0,0.023,0.69799999999999995,5311.0143266475643,94.012540481068612,0,warmstart,0.036999999999999998,0.316,NaN,NaN,0,warmstart,0.109,0.66800000000000004,1236.5673652694611,48.124472388786764,0,warmstart
200,199.99999999999488,True,199.99999999999488,warmstart,2,1000,local,0.23.0,0.023,0.68700000000000006,5523.2780203784569,96.927710638618862,0,warmstart,0.034000000000000002,0.29499999999999998,NaN,NaN,0,warmstart,0.109,0.65700000000000003,1242.2572298325722,46.903167263543338,0,warmstart
1,1.1739130434782608,False,1.1739130434782608,as_submitted,2,1000,local,0.23.0,0.083000000000000004,1,45.082000000000001,0.64777100583462366,0,reset,0.307,1,28.797999999999998,0.53013130071709602,9,warmstart,0.023,1,91.772000000000006,1.0161043332256783,19,warmstart
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,as_submitted,2,1000,local,0.23.0,0.029000000000000001,0.99399999999999999,347.26257545271631,7.2001604053665273,0,reset,0.099000000000000005,0.97899999999999998,233.37385086823289,4.8233071513936778,0,warmstart,0.037999999999999999,0.997,271.23169508525575,3.8796668544490069,2,warmstart
11.888888888888889,11.888888888888962,True,11.888888888888962,as_submitted,2,1000,local,0.23.0,0.033000000000000002,0.98199999999999998,738.68533604887989,28.666809409836155,0,reset,0.084000000000000005,0.92100000000000004,464.42128121606947,9.9052373900350208,0,warmstart,0.058000000000000003,0.99199999999999999,404.44153225806451,7.0511070348185614,0,warmstart
17.333333333333336,17.333333333333339,True,17.333333333333339,as_submitted,2,1000,local,0.23.0,0.034000000000000002,0.96899999999999997,1059.763673890609,28.365502423558404,0,reset,0.072999999999999995,0.85199999999999998,691.92605633802816,17.140105110764868,0,warmstart,0.070000000000000007,0.97799999999999998,504.75051124744374,8.6635943624559246,0,warmstart
22.777777777777779,22.777777777777651,True,22.777777777777651,as_submitted,2,1000,local,0.23.0,0.034000000000000002,0.96099999999999997,1443.7845993756503,42.525974008673266,0,reset,0.074999999999999997,0.80100000000000005,985.24843945068665,33.891608500405169,0,warmstart,0.076999999999999999,0.96199999999999997,584.35550935550941,10.104505687853473,0,warmstart
28.222222222222221,28.222222222222214,True,28.222222222222214,as_submitted,2,1000,local,0.23.0,0.036999999999999998,0.94899999999999995,1769.5089567966281,49.57018069008452,0,reset,0.073999999999999996,0.746,1203.5335120643431,42.620571351644628,0,warmstart,0.086999999999999994,0.94899999999999995,664.35511064278182,13.979436370704832,0,warmstart
