source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,DetRate,CI_low,CI_high,ADD,SEM,add_reliable
Real_ETH,ETH,1.5,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,22.388888888888889,0.4845433272057757,True
Real_ETH,ETH,1.5,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,38.083333333333336,0.60116591966192079,True
Synth_BTC,BTC,0.10000000000000001,Concept,106,8.7900581054687503,0.04716981132075472,0.37735849056603776,0.29089759989547109,0.47239760503764477,251.02500000000001,20.058803787240151,False
Synth_BTC,BTC,0.10000000000000001,Eco,106,27.344736328124998,0.04716981132075472,0.37735849056603776,0.29089759989547109,0.47239760503764477,263.80000000000001,17.677747311238498,False
Synth_BTC,BTC,0.14999999999999999,Concept,106,8.7900581054687503,0.04716981132075472,0.63207547169811318,0.53715436364759106,0.71775849257828406,238.11940298507463,14.49084673398937,False
Synth_BTC,BTC,0.14999999999999999,Eco,106,27.344736328124998,0.04716981132075472,0.839622641509434,0.75810040339080709,0.89738979833287214,264.75280898876406,12.805709031117402,False
Synth_BTC,BTC,0.20000000000000001,Concept,106,8.7900581054687503,0.04716981132075472,0.76415094339622647,0.67498612442286576,0.83483958802888492,222.34567901234567,13.398789496582584,False
Synth_BTC,BTC,0.20000000000000001,Eco,106,27.344736328124998,0.04716981132075472,0.95283018867924529,0.89430100859387629,0.97968592703769608,215.1881188118812,10.366688532437594,True
Synth_BTC,BTC,0.25,Concept,106,8.7900581054687503,0.04716981132075472,0.83018867924528306,0.74748176193680727,0.88980037862788097,180.26136363636363,11.044267780406066,False
Synth_BTC,BTC,0.25,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,165.11320754716982,7.7294534164156241,True
Synth_BTC,BTC,0.34999999999999998,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,126,6.7789961042065272,True
Synth_BTC,BTC,0.34999999999999998,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,110.27358490566037,4.2489404165485585,True
Synth_BTC,BTC,0.5,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,76.311320754716988,3.8951495429808012,True
Synth_BTC,BTC,0.5,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,69.5,2.1717485199795727,True
Synth_BTC,BTC,0.59999999999999998,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,61.198113207547166,2.8002955843613466,True
Synth_BTC,BTC,0.59999999999999998,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,57.264150943396224,1.5820561697494053,True
Synth_BTC,BTC,0.75,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,46.462264150943398,1.5566423396195548,True
Synth_BTC,BTC,0.75,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,44.679245283018865,1.1208998039793443,True
Synth_BTC,BTC,1,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,33.160377358490564,0.77601284800758463,True
Synth_BTC,BTC,1,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,33.773584905660378,0.69058704716828534,True
Synth_BTC,BTC,1.25,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,27.584905660377359,0.53163837334093711,True
Synth_BTC,BTC,1.25,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,27.339622641509433,0.46137511591828767,True
Synth_BTC,BTC,1.5,Concept,106,8.7900581054687503,0.04716981132075472,1,0.96502724142652774,1,25.122641509433961,0.37846602334616719,True
Synth_BTC,BTC,1.5,Eco,106,27.344736328124998,0.04716981132075472,1,0.96502724142652774,1,23.216981132075471,0.32653087623223159,True
Synth_ETH,ETH,0.10000000000000001,Concept,72,5.6000156396611009,0.055555555555555552,0.59722222222222221,0.48180671684951565,0.70278888847895093,208.53488372093022,17.866046512754291,False
Synth_ETH,ETH,0.10000000000000001,Eco,72,35.102225094774937,0.055555555555555552,0.29166666666666669,0.19938056188836689,0.4050574266934906,292,18.443392588098593,False
Synth_ETH,ETH,0.14999999999999999,Concept,72,5.6000156396611009,0.055555555555555552,0.75,0.63906492595656061,0.83560948774521049,167.44444444444446,13.27556070819818,False
Synth_ETH,ETH,0.14999999999999999,Eco,72,35.102225094774937,0.055555555555555552,0.58333333333333337,0.46807697931465553,0.69014782525260165,284.47619047619048,17.062451584582845,False
Synth_ETH,ETH,0.20000000000000001,Concept,72,5.6000156396611009,0.055555555555555552,0.98611111111111116,0.92543397852523857,0.9975440481170943,169.88732394366198,12.40849945308284,True
Synth_ETH,ETH,0.20000000000000001,Eco,72,35.102225094774937,0.055555555555555552,0.86111111111111116,0.762868127494437,0.9227726922970102,247.85483870967741,12.300982735590152,False
Synth_ETH,ETH,0.25,Concept,72,5.6000156396611009,0.055555555555555552,1,0.94934882740354221,1,145.15277777777777,12.418385720582943,True
Synth_ETH,ETH,0.25,Eco,72,35.102225094774937,0.055555555555555552,0.90277777777777779,0.81264954204873141,0.95210368002634427,196.83076923076922,9.8231599112395731,True
Synth_ETH,ETH,0.34999999999999998,Concept,72,5.6000156396611009,0.055555555555555552,1,0.94934882740354221,1,80.763888888888886,6.8717161926208297,True
Synth_ETH,ETH,0.34999999999999998,Eco,72,35.102225094774937,0.055555555555555552,1,0.94934882740354221,1,147.01388888888889,7.4871673408540831,True
