regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. A,VNQ,15,0.12,0.81999999999999995,8.0091743119265928,1.6087404747984905e-196,0.45764443654815179,0.50175000000000003,0.23.0
Cal. A,VNQ,16,0.12,0.81999999999999995,8.0091743119265928,6.8537362506444873e-227,0.77091896663083748,0.50812500000000005,0.23.0
Cal. A,VNQ,17,0.12,0.81999999999999995,8.0091743119265928,0,0.59034679645871813,0.51224999999999998,0.23.0
Cal. A,VNQ,18,0.12,0.81999999999999995,8.0091743119265928,7.6780000977952779e-194,0.57893900567305523,0.49737500000000001,0.23.0
Cal. A,VNQ,19,0.12,0.81999999999999995,8.0091743119265928,3.8005425676678115e-246,0.7403582821474417,0.503,0.23.0
Cal. A,VNQ,20,0.12,0.81999999999999995,8.0091743119265928,2.508589813808372e-278,0.58014972511914253,0.4965,0.23.0
Cal. A,VNQ,21,0.12,0.81999999999999995,8.0091743119265928,7.7713358073135308e-140,0.6749845868876394,0.50637500000000002,0.23.0
Cal. A,VNQ,22,0.12,0.81999999999999995,8.0091743119265928,0,0.92801207708441324,0.50712500000000005,0.23.0
Cal. A,VNQ,23,0.12,0.81999999999999995,8.0091743119265928,5.0748192882836682e-219,0.37325660690882079,0.51387499999999997,0.23.0
Cal. A,VNQ,24,0.12,0.81999999999999995,8.0091743119265928,0,0.29346573596699199,0.48949999999999999,0.23.0
Cal. A,VNQ,25,0.12,0.81999999999999995,8.0091743119265928,0,0.38372246893380219,0.51100000000000001,0.23.0
Cal. A,VNQ,26,0.12,0.81999999999999995,8.0091743119265928,0,0.26906908589232076,0.50087499999999996,0.23.0
Cal. A,VNQ,27,0.12,0.81999999999999995,8.0091743119265928,0,0.57963042170139345,0.49525000000000002,0.23.0
Cal. A,VNQ,28,0.12,0.81999999999999995,8.0091743119265928,0,0.30843163146228747,0.50449999999999995,0.23.0
Cal. A,VNQ,29,0.12,0.81999999999999995,8.0091743119265928,9.191158513810084e-263,0.26361199907885935,0.495,0.23.0
