ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
VNQ,13,bear,2008-11-26,2008-12-01,2,-28.719759424315445,2.2588793426868428,1,-12.714162674202194,0.52772237734343841,0,-0.52772237734343841,0.050000000000000003,9.3402393831154686,False,both,GFC_2008,MACRO,lunde_timmermann
VNQ,14,bull,2008-12-01,2008-12-08,5,17.197346404821246,0.95214549743644528,0.82608695652173914,18.061679072288165,0.52772237734343841,0.80000000000000004,0.27227762265656164,0.050000000000000003,4.6282551393955584,True,both,,MACRO,lunde_timmermann
VNQ,15,bear,2008-12-08,2008-12-11,3,-13.629710048399069,1.9427224260078924,0.97826086956521741,-7.0157784076270797,0.52772237734343841,0.33333333333333331,-0.19438904401010509,0.050000000000000003,30.674804797814438,False,both,GFC_2008,MACRO,lunde_timmermann
VNQ,16,bull,2008-12-11,2008-12-17,4,12.454531830050666,1.1275753181043318,0.93478260869565222,11.045410120353733,0.52772237734343841,0.75,0.22227762265656159,0.050000000000000003,12.37570198045449,False,both,,MACRO,lunde_timmermann
VNQ,17,bear,2008-12-17,2009-01-20,21,-2.7631123675141755,0.82519899606362579,0.76086956521739135,-3.3484194487569754,0.52772237734343841,0.42857142857142855,-0.099150948772009861,0.050000000000000003,134.66471708760881,False,both,GFC_2008,MACRO,lunde_timmermann
VNQ,18,bull,2009-01-20,2009-01-28,6,6.911227344138652,0.89800022085977793,0.80434782608695654,7.6962423656439558,0.52772237734343841,0.66666666666666663,0.13894428932322822,0.050000000000000003,25.490365515928282,False,both,,MACRO,lunde_timmermann
VNQ,19,bear,2009-01-28,2009-03-06,26,-4.7887343006905247,0.73308220390491685,0.69565217391304346,-6.5323292192639819,0.52772237734343841,0.34615384615384615,-0.18156853118959226,0.050000000000000003,35.383224328056507,False,location,,MACRO,lunde_timmermann
VNQ,20,bull,2009-03-06,2009-03-18,8,7.9500538464318806,1.0730720232490285,0.89130434782608692,7.4086861591646462,0.52772237734343841,0.625,0.097277622656561591,0.050000000000000003,27.507501084090343,False,both,,MACRO,lunde_timmermann
VNQ,21,bear,2009-03-18,2009-03-20,2,-19.203327599022813,0.29375161425313395,0.43478260869565216,-65.372670879945431,0.52772237734343841,0,-0.52772237734343841,0.050000000000000003,0.35329791684452039,True,location,,MACRO,lunde_timmermann
VNQ,22,bull,2009-03-20,2009-06-04,52,2.0791694418768558,0.89465339424662593,0.78260869565217395,2.3239943594331218,0.52772237734343841,0.55769230769230771,0.0299699303488693,0.050000000000000003,279.55250958153857,False,both,,MACRO,lunde_timmermann
VNQ,23,bear,2009-06-04,2009-07-10,25,-1.7213287868909237,0.37262890240249158,0.58695652173913049,-4.6194183430024083,0.52772237734343841,0.40000000000000002,-0.12772237734343839,0.050000000000000003,70.755294926051249,False,location,,MACRO,lunde_timmermann
VNQ,24,bull,2009-07-10,2010-05-03,204,0.82843276741752214,0.31630760793025925,0.45652173913043476,2.6190731637418545,0.52772237734343841,0.57352941176470584,0.045807034421267434,0.050000000000000003,220.10923957891507,False,location,,MACRO,lunde_timmermann
VNQ,25,bear,2010-05-03,2010-07-06,44,-1.0675804256602284,0.39612963702308479,0.60869565217391308,-2.6950279047109373,0.52772237734343841,0.38636363636363635,-0.14135874097980206,0.050000000000000003,207.87726871921635,False,location,,MACRO,lunde_timmermann
VNQ,26,bull,2010-07-06,2011-07-22,265,0.37688250627553355,0.19268687251292577,0.2391304347826087,1.955932448123842,0.52772237734343841,0.58867924528301885,0.060956867939580439,0.050000000000000003,394.66247180694802,False,neither,,MACRO,lunde_timmermann
VNQ,27,bear,2011-07-22,2011-08-08,11,-5.8861470609086899,0.433072200342624,0.63043478260869568,-13.591606795014501,0.52772237734343841,0.18181818181818182,-0.34590419552525659,0.050000000000000003,8.1731963202439015,True,location,,MACRO,lunde_timmermann
VNQ,28,bull,2011-08-08,2011-08-31,17,2.4462131778559644,0.4938275388683967,0.67391304347826086,4.9535778896848273,0.52772237734343841,0.6470588235294118,0.11933644618597339,0.050000000000000003,61.531222288715192,False,location,,MACRO,lunde_timmermann
VNQ,29,bear,2011-08-31,2011-10-03,22,-1.8630571502886326,0.36951078845976737,0.56521739130434778,-5.0419560361266251,0.52772237734343841,0.45454545454545453,-0.073176922797983879,0.050000000000000003,59.393022316071935,False,location,,MACRO,lunde_timmermann
VNQ,30,bull,2011-10-03,2013-05-21,409,0.33979568779202668,0.17194718227696218,0.13043478260869565,1.9761631641320194,0.52772237734343841,0.55501222493887525,0.027289847595436845,0.050000000000000003,386.62322141891678,True,neither,,MACRO,lunde_timmermann
VNQ,31,bear,2013-05-21,2013-08-19,62,-0.79400914321872706,0.20865957555032461,0.28260869565217389,-3.8052849533724253,0.52772237734343841,0.37096774193548387,-0.15675463540795453,0.050000000000000003,104.26995039181548,False,location,,MACRO,lunde_timmermann
VNQ,32,bull,2013-08-19,2015-01-26,361,0.27998191148271617,0.12422859005003936,0.021739130434782608,2.2537638990343467,0.52772237734343841,0.56232686980609414,0.034604492462655734,0.050000000000000003,297.24646503258009,True,location,Calm_2015_or_2019,MACRO,lunde_timmermann
VNQ,33,bear,2015-01-26,2015-09-04,155,-0.30823757296568438,0.1780159898578659,0.17391304347826086,-1.731516214986035,0.52772237734343841,0.47096774193548385,-0.056754635407954557,0.050000000000000003,503.59383961164542,False,neither,,MACRO,lunde_timmermann
VNQ,34,bull,2015-09-04,2016-08-01,227,0.31486345788044456,0.16311495095684336,0.086956521739130432,1.9303163568602031,0.52772237734343841,0.55506607929515417,0.02734370195171576,0.050000000000000003,405.20663972251378,False,neither,Calm_2015_or_2019,MACRO,lunde_timmermann
VNQ,35,bear,2016-08-01,2018-02-08,384,-0.11589256310652925,0.13321816446524426,0.043478260869565216,-0.86994565322032236,0.52772237734343841,0.50520833333333337,-0.022514044010105039,0.050000000000000003,1995.0293522667364,False,neither,,MACRO,lunde_timmermann
VNQ,36,bull,2018-02-08,2020-02-21,511,0.19680501661700345,0.13806945413040866,0.065217391304347824,1.4254059151354228,0.52772237734343841,0.5714285714285714,0.043706194085132988,0.050000000000000003,743.11567326199099,False,neither,Calm_2015_or_2019,MACRO,lunde_timmermann
