episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,oracle_certified,detector,delta,operating_point,lambda_star,FPR_H,ARL0,tau_realized_days,alarm_date,T_days_phase,alarm_within_T,ADD_min_census,detectable_flag_census,op_attainable,breakeven_exists
E1,SPY,22,TARGET,V3,True,False,D1,0.15,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.15,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.15,OP3_breakeven,6.062399045025292,0.11415,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.2,OP1_isoFPR5_H,6.85363864776697,0.04955,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.2,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.2,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.2,OP3_breakeven,5.043470610780117,0.153,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.25,OP1_isoFPR5_H,6.445889573454612,0.04375,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.25,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.25,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.25,OP3_breakeven,3.9461730629943523,0.23615,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.3,OP1_isoFPR5_H,6.062399045025292,0.03935,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.3,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.3,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.3,OP3_breakeven,3.0876122901990186,0.349,,16.0,2020-03-12,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.4,OP1_isoFPR5_H,5.043470610780117,0.0457,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.4,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.4,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.4,OP3_breakeven,2.009807067806246,0.5538,,6.0,2020-02-27,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.5,OP1_isoFPR5_H,4.461211479885724,0.0439,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.5,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.5,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.5,OP3_breakeven,1.5725374697020222,0.6285,,6.0,2020-02-27,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.22150917743226578,OP1_isoFPR5_H,6.85363864776697,0.04115,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.22150917743226578,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.22150917743226578,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.22150917743226578,OP3_breakeven,4.461211479885724,0.19545,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D2,,OP1_isoFPR5_H,3.0876122901990186,0.0427,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D2,,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D2,,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D2,,OP3_breakeven,2.27211889091584,0.1333,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.0,OP1_isoFPR5_H,38.17638221783051,0.0377,1492.3184,210.0,2010-01-06,284,True,227.280120754412,True,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.0,OP2_ARL0_20,3.282926069440412,1.0,20.5712,3.0,2009-03-12,284,True,227.280120754412,True,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.0,OP2b_ARL0_252,15.213167424961057,0.64825,275.7658,58.0,2009-06-01,284,True,227.280120754412,True,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.0,OP3_breakeven,51.878388671640536,0.00275,,284.0,2010-04-23,284,True,227.280120754412,True,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.05,OP1_isoFPR5_H,28.093319714816047,0.0414,,211.0,2010-01-07,284,True,227.280120754412,True,True,True
E2,SPY,15,POSITIVE CONTROL A,V1,False,True,D1,0.05,OP2_ARL0_20,2.9039184717958113,1.0,20.2184,3.0,2009-03-12,284,True,227.280120754412,True,True,True
