xi,stream_index,skewness,q,q_hat_warmup,lb_sign_p,lb_ebin_p,fpr_half,fpr_oracle,fpr_qhat,m_units_half,sign_identity,min_h,degenerate_sign,degenerate_ebin,fs_m,fs_s,fs_q_oracle
0.84999999999999998,9,-0.44005556536174234,0.54200000000000004,0.53500000000000003,0.46072585384497511,0.30319305084710096,0,0,0,74,True,0.0087718109385742232,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,9,-0.97465176454149283,0.56950000000000001,0.56499999999999995,0.66650224236768119,0.38724934897611962,0,0,0,70,True,0.0086853144721840796,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,9,-1.2397679709501039,0.580125,0.57699999999999996,0.40472982178938777,0.62846355375515239,1,0,0,116,True,0.0087169827627225742,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,10,0.064473934608962433,0.50312500000000004,0.49199999999999999,0.72984734913942928,0.45607791805082964,0,0,0,41,True,0.0085586294476438993,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,10,-0.35060128951438663,0.53512499999999996,0.53800000000000003,0.97583899234450111,0.96526679648098168,0,0,0,60,True,0.0080742012663539784,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,10,-0.95681452013874535,0.56374999999999997,0.58599999999999997,0.86507678834177992,0.44301715581115864,0,0,0,64,True,0.0076597038672449264,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,10,-1.3272298849224966,0.57650000000000001,0.57599999999999996,0.69123296282425339,0.7725576070558412,1,0,0,100,True,0.0081993795100028626,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,11,-0.019855496527688022,0.48575000000000002,0.51000000000000001,0.97896373666514069,0.46864356070442792,0,0,0,45,True,0.0088958040890563268,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,11,-0.46198381926789972,0.52612499999999995,0.55300000000000005,0.93713907387129458,0.85764978545961479,0,0,0,62,True,0.0086150565769195549,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,11,-1.0493218235509143,0.55974999999999997,0.58099999999999996,0.63254997214261688,0.76071449980203742,0,0,0,74,True,0.0080272251634925379,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,11,-1.3526566430722433,0.58187500000000003,0.59499999999999997,0.7259435748261831,0.83284620635965989,1,0,0,77,True,0.0076669874933676958,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,12,0.025865228294923461,0.49075000000000002,0.46999999999999997,0.17967721923478167,0.5575890748242518,0,0,0,38,True,0.0087057391881013389,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,12,-0.443617458622526,0.520625,0.51800000000000002,0.93353509599795503,0.91504779384306834,0,0,0,40,True,0.008730998713613625,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,12,-1.0366434776100875,0.56187500000000001,0.56699999999999995,0.79950166165701941,0.45588134496387434,0,0,0,60,True,0.0085252388101922649,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,12,-1.3377692217393249,0.57837499999999997,0.59399999999999997,0.051834112371850469,0.026426349664715559,1,0,0,88,True,0.0086705316192395715,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,13,-0.020518182090020379,0.49775000000000003,0.51200000000000001,0.88230328965285232,0.79554754599493904,0,0,0,47,True,0.0077472834700141472,False,False,0.00084786314457791824,1.1837821058171558,0.499774
