gamma,seed,stream,p_data,p_concept
5,688235699,82,0,0.6276230540533726
5,3475960061,83,1.7228272244890327e-266,0.25885257209164453
5,2406129336,84,3.164489878217533e-134,0.13640247630626809
5,539369460,85,9.8372706157957537e-218,0.71407988990783278
5,1666964051,86,6.0568161016053702e-47,0.90580734504051796
5,822039240,87,3.5552275656605797e-280,0.83609831401923773
5,117293149,88,3.1549159800271651e-82,0.35959537382945245
5,811673856,89,0,0.11303043937845181
5,3396735483,90,4.5181970757448548e-96,0.96820784319624997
5,620455764,91,3.0659813617817093e-133,0.83017017505021518
5,3623408917,92,3.0707696485235342e-46,0.69774489684132945
5,2148553291,93,4.9677893232717139e-81,0.52781518973379338
5,2766725920,94,3.5679843829488618e-191,0.21574715676022357
5,646169091,95,1.3909233164393929e-58,0.77781585372439932
5,139627594,96,1.6427694774102269e-123,0.16101172444871059
5,3208770688,97,2.0934678239159589e-79,0.79848704538786563
5,3757017453,98,1.9541672514923661e-97,0.14099075845467729
5,2374362623,99,0,0.27678780990113666
5,3751133440,100,0,0.47020375477106968
8.1600000000000001,2804820053,1,0,0.38613047681805945
8.1600000000000001,968063513,2,1.03874159811713e-164,0.83619158754334988
8.1600000000000001,538077674,3,9.0613437510573141e-225,0.086138041571404311
8.1600000000000001,2830785754,4,2.7152905435546128e-298,0.040206064281298901
8.1600000000000001,2098613300,5,4.6989632687083676e-174,0.65804988857884383
8.1600000000000001,2823888725,6,6.093324516782196e-239,0.19043416259977691
8.1600000000000001,605724751,7,1.8824661754098443e-217,0.44656547492027809
8.1600000000000001,1953417332,8,0,0.57253822510800201
8.1600000000000001,569642733,9,4.7488258715190008e-198,0.37940818374728263
8.1600000000000001,896283308,10,2.1964671353454973e-241,0.16851380213504652
8.1600000000000001,869147066,11,0,0.10419782987189773
8.1600000000000001,1566118459,12,1.0694908728706528e-163,0.68495498054437332
8.1600000000000001,1705664793,13,3.2607156404227682e-130,0.3400461146516533
8.1600000000000001,904510744,14,0,0.5086696984827056
8.1600000000000001,1775600625,15,1.2160450281540944e-251,0.56833777719864131
8.1600000000000001,1706513478,16,1.3180525285496699e-238,0.79247797140596732
8.1600000000000001,2985845134,17,4.4375316877339955e-164,0.14362957107801114
8.1600000000000001,2227319853,18,2.0394762802433992e-297,0.66809196964619721
8.1600000000000001,2788999916,19,0,0.81359555230730962
8.1600000000000001,2471145724,20,1.2164498227242262e-283,0.30362560146284362
8.1600000000000001,1568064162,21,3.4927164609463369e-242,0.72978076486442811
8.1600000000000001,1445981527,22,2.3164977630124118e-104,0.54208203610850725
8.1600000000000001,457610758,23,4.0641963119932979e-223,0.49548368509621621
8.1600000000000001,3762104056,24,0,0.53316624225917275
8.1600000000000001,3587597434,25,2.3936052508847022e-229,0.32853934861289152
8.1600000000000001,3243701788,26,1.1188419535436474e-142,0.187231636362682
8.1600000000000001,1378315605,27,1.8064365552549875e-234,0.71171735263520719
8.1600000000000001,2548094624,28,0,0.075819725832905374
8.1600000000000001,1111861068,29,0,0.74194349652023583
8.1600000000000001,3530579108,30,2.9803456191848973e-222,0.83376081634896893
8.1600000000000001,1617524198,31,2.4437504320007934e-232,0.21754206987520647
8.1600000000000001,990939842,32,0,0.57981904650035121
8.1600000000000001,3885638394,33,1.9151162649260015e-292,0.032585881656415537
8.1600000000000001,1359407423,34,0,0.89860216872670973
8.1600000000000001,1575635059,35,0,0.24851334724953156
8.1600000000000001,2274593680,36,0,0.4276625361330651
8.1600000000000001,2910257477,37,6.3752866301780293e-142,0.11628825050730501
8.1600000000000001,2171352991,38,0,0.32250406954423522
8.1600000000000001,470483147,39,3.9177143063074747e-153,0.40430566509076604
