gamma,seed,p_data,p_concept
11.58,44,0,0.16347496951586449
11.58,45,2.5933339009042637e-187,0.79979082473938945
11.58,46,0,0.6147918532357356
11.58,47,0,0.053658143998948353
11.58,48,0,0.83530079585798678
11.58,49,2.808635751835446e-299,0.54001439662049511
11.58,50,2.3921735569787587e-88,0.97120848976543239
11.58,51,1.2925043380600404e-258,0.12217295568554401
11.58,52,1.503320642938619e-270,0.19987078027691532
11.58,53,3.0570981130068741e-189,0.28269325949263191
11.58,54,0,0.75749933517466062
11.58,55,0,0.21230822887851247
11.58,56,2.4871170997069679e-268,0.16087208789095495
11.58,57,0,0.46591765288017573
11.58,58,0,0.2860262699900511
11.58,59,0,0.087571045569262637
11.58,60,0,0.15551671723856428
11.58,61,0,0.99411778355984692
11.58,62,2.1488715194560775e-288,0.77297585869244079
11.58,63,1.8873782183408454e-285,0.50938243556838769
11.58,64,0,0.80802025282410028
11.58,65,0,0.97832532842320297
11.58,66,0,0.60226877666902523
11.58,67,1.7323916495838218e-226,0.36937269922958643
11.58,68,4.2115377018823879e-261,0.71967563223527065
11.58,69,6.4080623693947744e-213,0.57129988240393814
11.58,70,0,0.48943270819043461
11.58,71,2.4888849408682189e-178,0.25890934016677719
11.58,72,3.6281160197201526e-254,0.091921448151380744
11.58,73,1.1167395424856668e-190,0.9894173794176816
11.58,74,0,0.35676393375732335
11.58,75,4.6075168502356425e-288,0.90335441169510966
11.58,76,7.1937307458846107e-201,0.51867904869609971
11.58,77,0,0.26472180778167015
11.58,78,2.8198476866807802e-278,0.65740967392892291
11.58,79,8.5059961900424773e-287,0.00076693791079302464
11.58,80,0,0.18466498893532257
11.58,81,2.5385610463640269e-225,0.41838707645854906
11.58,82,0,0.54927236650494371
11.58,83,0,0.37322632018469459
11.58,84,0,0.9042426462150478
11.58,85,0,0.24222005733131499
11.58,86,0,0.97414610497407894
11.58,87,0,0.52866439219587014
11.58,88,0,0.34328711740016565
11.58,89,0,0.034199606824713992
11.58,90,0,0.66834947470632344
11.58,91,0,0.27234316199029235
11.58,92,8.7122325499293311e-203,0.47613289442039775
11.58,93,0,0.67413523617532234
11.58,94,0,0.8157618825224251
